X,Y,District,Capital,Province,REG_EN,Regional
66.03723644,32.11619135,Shah Wali Kot,,Kandahar,Southern,
66.04205707,30.16206954,Shorabak,,Kandahar,Southern,
66.11861581,30.95698328,Spin Boldak,,Kandahar,Southern,
65.41122525,31.64381429,Zheray,,Kandahar,Southern,
69.8017621,34.94037446,Alasay,,Kapisa,Capital,
69.34547007,35.13542011,Hisa-e-Awal-e-Kohistan,,Kapisa,Capital,
69.32660148,35.07565629,Hisa-e-Duwum-e-Kohistan,,Kapisa,Capital,
69.46013752,35.09819227,Koh Band,,Kapisa,Capital,
69.41945678,35.00367759,Mahmood-e-Raqi,1,Kapisa,Capital,
69.65722412,35.03993802,Nijrab,,Kapisa,Capital,
69.68266552,34.78922523,Tagab,,Kapisa,Capital,
70.06790283,33.54386495,Bak,,Khost,South Eastern,
69.94994606,33.20123717,Gurbuz,,Khost,South Eastern,
70.07376721,33.6388119,Jaji Maydan,,Khost,South Eastern,
69.77995124,33.31401934,Mandozayi,,Khost,South Eastern,
70.0102371,33.32913807,Matun,1,Khost,South Eastern,
69.55262384,33.55557461,Musa Khel,,Khost,South Eastern,
69.68301677,33.36138947,Nadir Shah Kot,,Khost,South Eastern,
69.66114574,33.50109911,Qalandar,,Khost,South Eastern,
69.86880074,33.5545196,Sabari,,Khost,South Eastern,
69.52560107,33.32557368,Shamal,,Khost,South Eastern,
69.50558218,33.1493355,Spera,,Khost,South Eastern,
69.71345589,33.19525177,Tani,,Khost,South Eastern,
70.21904112,33.36117601,Terezayi,,Khost,South Eastern,
71.11540689,34.86416998,Asad Abad,1,Kunar,Eastern,
71.3878993,35.06029364,Bar Kunar,,Kunar,Eastern,
70.69771057,34.96274477,Chapa Dara,,Kunar,Eastern,
70.90192955,34.72645808,Chawkay,,Kunar,Eastern,
71.41120322,35.00206265,Dangam,,Kunar,Eastern,
70.91333047,34.95256519,Dara-e-Pech,,Kunar,Eastern,
71.32048507,35.23103107,Ghazi Abad,,Kunar,Eastern,
70.96280148,34.62478702,Khas Kunar,,Kunar,Eastern,
71.21999856,34.86020573,Marawara,,Kunar,Eastern,
70.98408879,34.80099449,Narang,,Kunar,Eastern,
71.50197549,35.27666625,Nari,,Kunar,Eastern,
70.73753447,34.69678306,Nurgal,,Kunar,Eastern,
71.14907496,34.7545203,Sar Kani,,Kunar,Eastern,
71.21510625,35.04633651,Shigal,,Kunar,Eastern,
71.08275986,35.00536751,Watapur,,Kunar,Eastern,
68.84128214,36.53302378,Ali Abad,,Kunduz,North Eastern,
68.58705697,36.68952338,Chahar Darah,,Kunduz,North Eastern,
69.15221246,36.95775421,Dasht-e-Archi,,Kunduz,North Eastern,
68.79964717,37.10473719,Imam Sahib,,Kunduz,North Eastern,
69.11182007,36.60035247,Khan Abad,,Kunduz,North Eastern,
68.84201755,36.78052516,Kunduz,1,Kunduz,North Eastern,1
68.37277199,36.89260881,Qala-e-Zal,,Kunduz,North Eastern,
70.41145266,34.80020292,Alingar,,Laghman,Eastern,
70.06429017,34.83112809,Alishang,,Laghman,Eastern,
70.00743548,35.05275393,Dawlatshah,,Laghman,Eastern,
70.20199206,34.66516328,Mehtarlam,1,Laghman,Eastern,
70.14519414,34.55370887,Qarghayi,,Laghman,Eastern,
69.64478638,34.09258739,Azra,,Logar,Capital,
68.87718515,33.93118717,Baraki Barak,,Logar,Capital,
68.93096536,33.8117732,Charkh,,Logar,Capital,
68.92849809,33.71185309,Kharwar,,Logar,Capital,
69.2677936,33.98748982,Khoshi,,Logar,Capital,
69.1550456,34.20923257,Mohammad Agha,,Logar,Capital,
69.07111846,33.9847572,Pul-e-Alam,1,Logar,Capital,
68.46868561,34.10517011,Chak-e-Wardak,,Maidan Wardak,Capital,
68.30794782,34.20297073,Daymirdad,,Maidan Wardak,Capital,
68.20296517,34.51111426,Hesa-e-Awal-e-Behsud,,Maidan Wardak,Capital,
68.34792397,33.84903497,Jaghatu,,Maidan Wardak,Capital,
68.59835586,34.50176097,Jalrez,,Maidan Wardak,Capital,
67.73029902,34.40764364,Markaz-e-Behsud,,Maidan Wardak,Capital,
68.81309085,34.44367744,Maydan Shahr,1,Maidan Wardak,Capital,
68.78426336,34.30424719,Nerkh,,Maidan Wardak,Capital,
68.64245045,33.94608129,Saydabad,,Maidan Wardak,Capital,
70.66990658,34.08492684,Achin,,Nangarhar,Eastern,
70.76099572,34.29393476,Bati Kot,,Nangarhar,Eastern,
70.47346593,34.45691735,Behsud,,Nangarhar,Eastern,
70.36365552,34.27283998,Chaparhar,,Nangarhar,Eastern,
70.57748371,34.70604969,Dara-e-Nur,,Nangarhar,Eastern,
70.42805987,34.09315452,Deh Bala,,Nangarhar,Eastern,
70.97444378,34.09369626,Dur Baba,,Nangarhar,Eastern,
70.85395497,34.41427862,Goshta,,Nangarhar,Eastern,
69.8304311,34.25628824,Hesarak,,Nangarhar,Eastern,
70.46171896,34.42161518,Jalalabad,1,Nangarhar,Eastern,1
70.64952042,34.45368257,Kama,,Nangarhar,Eastern,
70.17639525,34.21849735,Khogyani,,Nangarhar,Eastern,
70.5876998,34.14424527,Kot,,Nangarhar,Eastern,
70.61579167,34.56333027,Kuz Kunar,,Nangarhar,Eastern,
71.03364962,34.33880071,Lalpur,,Nangarhar,Eastern,
70.99493705,34.22446491,Muhmand Dara,,Nangarhar,Eastern,
70.82997815,34.06713011,Nazyan,,Nangarhar,Eastern,
70.26409692,34.10396989,Pachir Wa Agam,,Nangarhar,Eastern,
70.55418458,34.26251082,Rodat,,Nangarhar,Eastern,
69.99929282,34.19924619,Sherzad,,Nangarhar,Eastern,
70.80179156,34.20964621,Shinwar,,Nangarhar,Eastern,
70.2845875,34.39729926,Surkh Rod,,Nangarhar,Eastern,
62.14559043,31.42456718,Chakhansur,,Nimroz,Southern,
61.93499218,30.09527631,Char Burjak,,Nimroz,Southern,
61.84713877,31.33483745,Kang,,Nimroz,Southern,
62.83653329,31.76118107,Khashrod,,Nimroz,Southern,
61.99847567,30.95350898,Zaranj,1,Nimroz,Southern,
71.25879627,35.79593343,Barg-e-Matal,,Nuristan,Eastern,
70.40679957,35.2242294,Duab,,Nuristan,Eastern,
71.34183724,35.47500411,Kamdesh,,Nuristan,Eastern,
70.24211478,35.40036042,Mandol,,Nuristan,Eastern,
70.50912071,35.11133892,Nurgaram,,Nuristan,Eastern,
70.77894682,35.43058615,Parun,1,Nuristan,Eastern,
70.78182472,35.18989226,Wama,,Nuristan,Eastern,
71.05333067,35.2424863,Waygal,,Nuristan,Eastern,
69.25766624,32.70430408,Barmal,,Paktika,South Eastern,
68.15665752,32.54150414,Dila,,Paktika,South Eastern,
69.4086517,32.97294681,Giyan,,Paktika,South Eastern,
68.89178188,32.39936636,Gomal,,Paktika,South Eastern,
68.52597956,32.65190244,Jani Khel,,Paktika,South Eastern,
68.88946218,33.28931119,Mata Khan,,Paktika,South Eastern,
69.24442301,33.21271636,Nika,,Paktika,South Eastern,
68.81678222,32.88499071,Omna,,Paktika,South Eastern,
69.0275131,33.05912696,Sar Rawzah,,Paktika,South Eastern,
68.7326818,33.24210604,Sharan,1,Paktika,South Eastern,
69.03881135,32.74703631,Surobi,,Paktika,South Eastern,
68.28496403,31.90492073,Turwo,,Paktika,South Eastern,
69.22637582,32.99294933,Urgun,,Paktika,South Eastern,
68.40045412,32.27914017,Wazakhah,,Paktika,South Eastern,
68.85669694,31.93542724,Wormamay,,Paktika,South Eastern,
68.64878839,32.90804841,Yahya Khel,,Paktika,South Eastern,
68.68358573,33.03369662,Yosuf Khel,,Paktika,South Eastern,
68.43721416,32.86738862,Zarghun Shahr,,Paktika,South Eastern,
69.33867487,33.16777097,Ziruk,,Paktika,South Eastern,
69.29984755,33.76836462,Ahmadaba,,Paktya,South Eastern,
69.81469764,33.79537288,Chamkani,,Paktya,South Eastern,
69.92575456,33.79890209,Dand Wa Patan,,Paktya,South Eastern,
69.20257006,33.61373289,Gardez,1,Paktya,South Eastern,
69.68234451,33.97959017,Jaji,,Paktya,South Eastern,
69.77524182,33.64521559,Jani Khel,,Paktya,South Eastern,
69.6632697,33.81147628,Lija Ahmad Khel,,Paktya,South Eastern,
69.47316066,33.71632853,Sayed Karam,,Paktya,South Eastern,
69.35237422,33.45700652,Shawak,,Paktya,South Eastern,
69.39408232,33.38116531,Zadran,,Paktya,South Eastern,
69.11251252,33.38754556,Zurmat,,Paktya,South Eastern,
69.38962766,35.2346293,Anawa,,Panjsher,Capital,
69.5234353,35.36371621,Bazarak,1,Panjsher,Capital,
69.76757309,35.21974066,Dara,,Panjsher,Capital,
69.78683654,35.42298827,Khenj,,Panjsher,Capital,
69.99924775,35.63748413,Paryan,,Panjsher,Capital,
69.47878842,35.26264493,Rukha,,Panjsher,Capital,
69.30500311,35.28623579,Shutul,,Panjsher,Capital,
69.33387407,34.92235973,Bagram,,Parwan,Capital,
69.15395257,34.98843134,Charikar,1,Parwan,Capital,
68.74982113,35.00792763,Ghorband,,Parwan,Capital,
69.2360783,35.12820311,Jabal Saraj,,Parwan,Capital,
69.47025662,34.74664167,Koh-e-Safi,,Parwan,Capital,
69.11620758,35.27189427,Salang,,Parwan,Capital,
69.25746739,35.0459436,Sayed Khel,,Parwan,Capital,
68.43389738,34.93616898,Shekh Ali,,Parwan,Capital,
