X,Y,District,Capital,Province
69.12071573,34.72597189,Mir Bacha Kot,,Kabul
69.21803725,34.36977538,Musahi,,Kabul
68.94105719,34.54619149,Paghman,,Kabul
69.19463562,34.85121397,Qara Bagh,,Kabul
69.06101749,34.65267233,Shakar Dara,,Kabul
69.70456879,34.53068405,Surobi,,Kabul
65.66519645,31.7657003,Arghandab,,Kandahar
66.47767556,31.51715394,Arghestan,,Kandahar
65.71170558,31.22323173,Daman,,Kandahar
65.27079823,32.07930581,Ghorak,,Kandahar
65.73637254,31.51894777,Kandahar,1,Kandahar
65.58732912,32.00967659,Khakrez,,Kandahar
67.24422479,31.47831452,Maruf,,Kandahar
64.97585314,31.58929507,Maywand,,Kandahar
66.34853899,32.37887872,Miyanshin,,Kandahar
65.74507969,32.40775923,Nesh,,Kandahar
65.13271625,31.13483076,Panjwayi,,Kandahar
65.21449872,30.14336884,Reg,,Kandahar
66.03723644,32.11619135,Shah Wali Kot,,Kandahar
66.04205707,30.16206954,Shorabak,,Kandahar
66.11861581,30.95698328,Spin Boldak,,Kandahar
65.41122525,31.64381429,Zheray,,Kandahar
69.8017621,34.94037446,Alasay,,Kapisa
69.34547007,35.13542011,Hisa-e-Awal-e-Kohistan,,Kapisa
69.32660148,35.07565629,Hisa-e-Duwum-e-Kohistan,,Kapisa
69.46013752,35.09819227,Koh Band,,Kapisa
69.41945678,35.00367759,Mahmood-e-Raqi,1,Kapisa
69.65722412,35.03993802,Nijrab,,Kapisa
69.68266552,34.78922523,Tagab,,Kapisa
70.06790283,33.54386495,Bak,,Khost
69.94994606,33.20123717,Gurbuz,,Khost
70.07376721,33.6388119,Jaji Maydan,,Khost
69.77995124,33.31401934,Mandozayi,,Khost
70.0102371,33.32913807,Matun,1,Khost
69.55262384,33.55557461,Musa Khel,,Khost
69.68301677,33.36138947,Nadir Shah Kot,,Khost
69.66114574,33.50109911,Qalandar,,Khost
69.86880074,33.5545196,Sabari,,Khost
69.52560107,33.32557368,Shamal,,Khost
69.50558218,33.1493355,Spera,,Khost
69.71345589,33.19525177,Tani,,Khost
70.21904112,33.36117601,Terezayi,,Khost
71.11540689,34.86416998,Asad Abad,1,Kunar
71.3878993,35.06029364,Bar Kunar,,Kunar
70.69771057,34.96274477,Chapa Dara,,Kunar
70.90192955,34.72645808,Chawkay,,Kunar
71.41120322,35.00206265,Dangam,,Kunar
70.91333047,34.95256519,Dara-e-Pech,,Kunar
71.32048507,35.23103107,Ghazi Abad,,Kunar
70.96280148,34.62478702,Khas Kunar,,Kunar
71.21999856,34.86020573,Marawara,,Kunar
70.98408879,34.80099449,Narang,,Kunar
71.50197549,35.27666625,Nari,,Kunar
70.73753447,34.69678306,Nurgal,,Kunar
71.14907496,34.7545203,Sar Kani,,Kunar
71.21510625,35.04633651,Shigal,,Kunar
71.08275986,35.00536751,Watapur,,Kunar
68.84128214,36.53302378,Ali Abad,,Kunduz
68.58705697,36.68952338,Chahar Darah,,Kunduz
69.15221246,36.95775421,Dasht-e-Archi,,Kunduz
68.79964717,37.10473719,Imam Sahib,,Kunduz
69.11182007,36.60035247,Khan Abad,,Kunduz
68.84201755,36.78052516,Kunduz,1,Kunduz
68.37277199,36.89260881,Qala-e-Zal,,Kunduz
70.41145266,34.80020292,Alingar,,Laghman
70.06429017,34.83112809,Alishang,,Laghman
70.00743548,35.05275393,Dawlatshah,,Laghman
70.20199206,34.66516328,Mehtarlam,1,Laghman
70.14519414,34.55370887,Qarghayi,,Laghman
69.64478638,34.09258739,Azra,,Logar
68.87718515,33.93118717,Baraki Barak,,Logar
68.93096536,33.8117732,Charkh,,Logar
68.92849809,33.71185309,Kharwar,,Logar
69.2677936,33.98748982,Khoshi,,Logar
69.1550456,34.20923257,Mohammad Agha,,Logar
69.07111846,33.9847572,Pul-e-Alam,1,Logar
68.46868561,34.10517011,Chak-e-Wardak,,Maidan Wardak
68.30794782,34.20297073,Daymirdad,,Maidan Wardak
68.20296517,34.51111426,Hesa-e-Awal-e-Behsud,,Maidan Wardak
68.34792397,33.84903497,Jaghatu,,Maidan Wardak
68.59835586,34.50176097,Jalrez,,Maidan Wardak
67.73029902,34.40764364,Markaz-e-Behsud,,Maidan Wardak
68.81309085,34.44367744,Maydan Shahr,1,Maidan Wardak
68.78426336,34.30424719,Nerkh,,Maidan Wardak
68.64245045,33.94608129,Saydabad,,Maidan Wardak
70.66990658,34.08492684,Achin,,Nangarhar
70.76099572,34.29393476,Bati Kot,,Nangarhar
70.47346593,34.45691735,Behsud,,Nangarhar
70.36365552,34.27283998,Chaparhar,,Nangarhar
70.57748371,34.70604969,Dara-e-Nur,,Nangarhar
70.42805987,34.09315452,Deh Bala,,Nangarhar
70.97444378,34.09369626,Dur Baba,,Nangarhar
70.85395497,34.41427862,Goshta,,Nangarhar
69.8304311,34.25628824,Hesarak,,Nangarhar
70.46171896,34.42161518,Jalalabad,1,Nangarhar
70.64952042,34.45368257,Kama,,Nangarhar
70.17639525,34.21849735,Khogyani,,Nangarhar
70.5876998,34.14424527,Kot,,Nangarhar
70.61579167,34.56333027,Kuz Kunar,,Nangarhar
71.03364962,34.33880071,Lalpur,,Nangarhar
70.99493705,34.22446491,Muhmand Dara,,Nangarhar
70.82997815,34.06713011,Nazyan,,Nangarhar
70.26409692,34.10396989,Pachir Wa Agam,,Nangarhar
70.55418458,34.26251082,Rodat,,Nangarhar
69.99929282,34.19924619,Sherzad,,Nangarhar
70.80179156,34.20964621,Shinwar,,Nangarhar
70.2845875,34.39729926,Surkh Rod,,Nangarhar
62.14559043,31.42456718,Chakhansur,,Nimroz
61.93499218,30.09527631,Char Burjak,,Nimroz
61.84713877,31.33483745,Kang,,Nimroz
62.83653329,31.76118107,Khashrod,,Nimroz
61.99847567,30.95350898,Zaranj,1,Nimroz
71.25879627,35.79593343,Barg-e-Matal,,Nuristan
70.40679957,35.2242294,Duab,,Nuristan
71.34183724,35.47500411,Kamdesh,,Nuristan
70.24211478,35.40036042,Mandol,,Nuristan
70.50912071,35.11133892,Nurgaram,,Nuristan
70.77894682,35.43058615,Parun,1,Nuristan
70.78182472,35.18989226,Wama,,Nuristan
71.05333067,35.2424863,Waygal,,Nuristan
69.25766624,32.70430408,Barmal,,Paktika
68.15665752,32.54150414,Dila,,Paktika
69.4086517,32.97294681,Giyan,,Paktika
68.89178188,32.39936636,Gomal,,Paktika
68.52597956,32.65190244,Jani Khel,,Paktika
68.88946218,33.28931119,Mata Khan,,Paktika
69.24442301,33.21271636,Nika,,Paktika
68.81678222,32.88499071,Omna,,Paktika
69.0275131,33.05912696,Sar Rawzah,,Paktika
68.7326818,33.24210604,Sharan,1,Paktika
69.03881135,32.74703631,Surobi,,Paktika
68.28496403,31.90492073,Turwo,,Paktika
69.22637582,32.99294933,Urgun,,Paktika
68.40045412,32.27914017,Wazakhah,,Paktika
68.85669694,31.93542724,Wormamay,,Paktika
68.64878839,32.90804841,Yahya Khel,,Paktika
68.68358573,33.03369662,Yosuf Khel,,Paktika
68.43721416,32.86738862,Zarghun Shahr,,Paktika
69.33867487,33.16777097,Ziruk,,Paktika
69.29984755,33.76836462,Ahmadaba,,Paktya
69.81469764,33.79537288,Chamkani,,Paktya
69.92575456,33.79890209,Dand Wa Patan,,Paktya
69.20257006,33.61373289,Gardez,1,Paktya
69.68234451,33.97959017,Jaji,,Paktya
69.77524182,33.64521559,Jani Khel,,Paktya
69.6632697,33.81147628,Lija Ahmad Khel,,Paktya
69.47316066,33.71632853,Sayed Karam,,Paktya
69.35237422,33.45700652,Shawak,,Paktya
69.39408232,33.38116531,Zadran,,Paktya
69.11251252,33.38754556,Zurmat,,Paktya
69.38962766,35.2346293,Anawa,,Panjsher
69.5234353,35.36371621,Bazarak,1,Panjsher
69.76757309,35.21974066,Dara,,Panjsher
69.78683654,35.42298827,Khenj,,Panjsher
69.99924775,35.63748413,Paryan,,Panjsher
69.47878842,35.26264493,Rukha,,Panjsher
69.30500311,35.28623579,Shutul,,Panjsher
69.33387407,34.92235973,Bagram,,Parwan
69.15395257,34.98843134,Charikar,1,Parwan
68.74982113,35.00792763,Ghorband,,Parwan
69.2360783,35.12820311,Jabal Saraj,,Parwan
69.47025662,34.74664167,Koh-e-Safi,,Parwan
69.11620758,35.27189427,Salang,,Parwan
69.25746739,35.0459436,Sayed Khel,,Parwan
68.43389738,34.93616898,Shekh Ali,,Parwan
68.99405011,35.10354696,Shinwari,,Parwan
68.60774952,34.78464656,Surkh-e-Parsa,,Parwan
68.01519936,36.20085938,Aybak,1,Samangan
67.2496764,35.68169268,Dara-e-Suf-e-Bala,,Samangan
67.33924061,36.00212474,Dara-e-Suf-e-Payin,,Samangan
67.57583045,36.45026088,Feroz Nakhchir,,Samangan
67.97667098,36.36341359,Hazrat-e-Sultan,,Samangan
68.00474814,35.98055243,Khuram Wa Sarbagh,,Samangan
67.80686268,35.66797764,Ruy-e-Duab,,Samangan
66.57240226,35.44280092,Balkhab,,Sar-e-Pul
66.55276576,36.0036847,Gosfandi,,Sar-e-Pul
65.80501676,35.41511083,Kohestanat,,Sar-e-Pul
66.36659051,35.8680732,Sancharak,,Sar-e-Pul
65.96518721,36.23562793,Sar-e-Pul,1,Sar-e-Pul
65.68267317,36.16375677,Sayad,,Sar-e-Pul
66.20198025,35.99898872,Sozmaqala,,Sar-e-Pul
69.40095311,36.8272981,Baharak,,Takhar
69.35215896,36.63610236,Bangi,,Takhar
69.88257843,37.44680616,Chahab,,Takhar
69.53577939,36.50758129,Chal,,Takhar
69.48126607,37.44317127,Darqad,,Takhar
69.49624485,37.19555212,Dasht-e-Qala,,Takhar
69.43884314,36.37965867,Eshkmesh,,Takhar
69.95753922,36.48259255,Farkhar,,Takhar
