shapeid,x,y,PROV_NA_EN
0,64.10735742,33.31415106,Ghor
0,64.10008985,33.32709861,Ghor
0,64.10832456,33.3482835,Ghor
0,64.08090568,33.37420116,Ghor
0,64.07450157,33.41327549,Ghor
0,64.0471217,33.42506276,Ghor
0,64.05071978,33.4449874,Ghor
0,63.99577315,33.45109258,Ghor
0,63.99205391,33.4763554,Ghor
0,63.98475128,33.47481059,Ghor
0,63.9752822,33.48639035,Ghor
0,63.97932791,33.52101518,Ghor
0,63.92347851,33.50410916,Ghor
0,63.90468666,33.4796536,Ghor
0,63.86868714,33.47109231,Ghor
0,63.86108131,33.45925803,Ghor
0,63.86735383,33.44898735,Ghor
0,63.85140001,33.43425823,Ghor
0,63.82675513,33.43310056,Ghor
0,63.82064045,33.40827804,Ghor
0,63.78066166,33.40440309,Ghor
0,63.77237786,33.41907726,Ghor
0,63.76388845,33.4197608,Ghor
0,63.74604546,33.41652553,Ghor
0,63.71658491,33.39539824,Ghor
0,63.63467379,33.38368265,Ghor
0,63.60217405,33.3991237,Ghor
0,63.55540972,33.40020213,Ghor
0,63.54697841,33.38382971,Ghor
0,63.56413514,33.37294744,Ghor
0,63.56265616,33.35979556,Ghor
0,63.50041138,33.3541816,Ghor
0,63.4892492,33.33647588,Ghor
0,63.45321464,33.3496708,Ghor
0,63.41786179,33.34383003,Ghor
0,63.39055809,33.361624,Ghor
0,63.36322024,33.3583219,Ghor
0,63.36114655,33.33652616,Ghor
0,63.34560645,33.33137489,Ghor
0,63.33808688,33.31627751,Ghor
0,63.32350148,33.31481371,Ghor
0,63.29292236,33.34000415,Ghor
0,63.26132688,33.34337473,Ghor
0,63.26285435,33.35336979,Ghor
0,63.24798525,33.37368322,Ghor
0,63.26775589,33.39256567,Ghor
0,63.28314607,33.45994399,Ghor
0,63.30220337,33.4767999,Ghor
0,63.30460369,33.48837179,Ghor
0,63.28447372,33.4972533,Ghor
0,63.26183357,33.52336993,Ghor
0,63.24581388,33.52455366,Ghor
0,63.19864204,33.57119705,Ghor
0,63.20229348,33.59007629,Ghor
0,63.22194915,33.59202344,Ghor
0,63.23136547,33.61483697,Ghor
0,63.24770817,33.62039933,Ghor
0,63.32440294,33.63852771,Ghor
0,63.34563858,33.6367457,Ghor
0,63.37563579,33.65337781,Ghor
0,63.42995038,33.65525827,Ghor
0,63.45181681,33.64684377,Ghor
0,63.46649054,33.65854768,Ghor
0,63.48598899,33.65655971,Ghor
0,63.51950328,33.70276519,Ghor
0,63.51957983,33.72175095,Ghor
0,63.48880453,33.76056458,Ghor
0,63.51628795,33.77687089,Ghor
0,63.50352099,33.80420075,Ghor
0,63.51973295,33.80711031,Ghor
0,63.52212937,33.81647436,Ghor
0,63.54898226,33.81570581,Ghor
0,63.55967218,33.82620941,Ghor
0,63.55853099,33.84043935,Ghor
0,63.54092406,33.85930391,Ghor
0,63.5640053,33.86081054,Ghor
0,63.55282504,33.87027331,Ghor
0,63.57975244,33.88802945,Ghor
0,63.57209689,33.89690988,Ghor
0,63.52976964,33.90321033,Ghor
0,63.48398224,33.94019914,Ghor
0,63.46181211,33.959475,Ghor
0,63.45848856,33.99061379,Ghor
0,63.44026836,34.00699666,Ghor
0,63.40161124,34.00763569,Ghor
0,63.36011478,34.03807818,Ghor
0,63.39219152,34.08186792,Ghor
0,63.41023617,34.09023824,Ghor
0,63.41341892,34.1127126,Ghor
0,63.43294236,34.1066677,Ghor
0,63.47771117,34.11983943,Ghor
0,63.47323772,34.15046169,Ghor
0,63.48552162,34.16328407,Ghor
0,63.48300954,34.18336104,Ghor
0,63.49145686,34.19327302,Ghor
0,63.49102624,34.20851713,Ghor
0,63.50428947,34.2193258,Ghor
0,63.50891435,34.2450794,Ghor
0,63.48275709,34.25787293,Ghor
0,63.48362357,34.27404772,Ghor
0,63.53909299,34.27103375,Ghor
0,63.56440304,34.27862677,Ghor
0,63.70924691,34.28383402,Ghor
0,63.78017066,34.26749519,Ghor
0,63.81233546,34.23239965,Ghor
0,63.82933372,34.23950668,Ghor
0,63.85351227,34.2299818,Ghor
0,63.86098564,34.24309683,Ghor
0,63.87996214,34.24646717,Ghor
0,63.93982237,34.21789252,Ghor
0,63.98425092,34.224025,Ghor
0,63.99002267,34.24361636,Ghor
0,64.0060419,34.24459245,Ghor
0,64.03844155,34.27284377,Ghor
0,64.05404771,34.26610309,Ghor
0,64.06632731,34.27040632,Ghor
0,64.06930087,34.28725649,Ghor
0,64.09891257,34.28923887,Ghor
0,64.12499318,34.27468081,Ghor
0,64.14258674,34.28211471,Ghor
0,64.13199343,34.32876244,Ghor
0,64.13403776,34.35632982,Ghor
0,64.19462987,34.36434121,Ghor
0,64.19045599,34.40013079,Ghor
0,64.20193405,34.43574866,Ghor
0,64.18957975,34.44195633,Ghor
0,64.18681845,34.46957291,Ghor
0,64.2282005,34.48654699,Ghor
