shapeid,x,y,PROV_NA_EN,DIST_NA_EN,color1
6,69.49617576,33.02012645,Paktika,Gyan,
7,69.16774998,32.84450341,Paktika,Sarobi,
7,69.18577228,32.84577412,Paktika,Sarobi,
7,69.14105385,32.80404334,Paktika,Sarobi,
7,69.12770578,32.76134881,Paktika,Sarobi,
7,69.08452937,32.72270207,Paktika,Sarobi,
7,69.05590572,32.66593665,Paktika,Sarobi,
7,69.05401053,32.62774554,Paktika,Sarobi,
7,68.96918273,32.61878699,Paktika,Sarobi,
7,68.96986183,32.65735948,Paktika,Sarobi,
7,68.96184853,32.67447263,Paktika,Sarobi,
7,68.97461548,32.69769761,Paktika,Sarobi,
7,68.9623918,32.71481076,Paktika,Sarobi,
7,68.96307089,32.73789992,Paktika,Sarobi,
7,68.99838374,32.7888319,Paktika,Sarobi,
7,68.9951998,32.87528584,Paktika,Sarobi,
7,69.04940035,32.84652731,Paktika,Sarobi,
7,69.07021755,32.85818879,Paktika,Sarobi,
7,69.09729918,32.85741779,Paktika,Sarobi,
7,69.10587664,32.83852811,Paktika,Sarobi,
7,69.16774998,32.84450341,Paktika,Sarobi,
8,69.16996662,32.84565992,Paktika,Urgun,
8,69.10587664,32.83852811,Paktika,Urgun,
8,69.09729918,32.85741779,Paktika,Urgun,
8,69.07021755,32.85818879,Paktika,Urgun,
8,69.04940035,32.84652731,Paktika,Urgun,
8,68.9951998,32.87528584,Paktika,Urgun,
8,69.02664773,32.91094808,Paktika,Urgun,
8,69.04757365,32.90809601,Paktika,Urgun,
8,69.08890811,32.91956117,Paktika,Urgun,
8,69.12981444,32.98211272,Paktika,Urgun,
8,69.12604507,32.99444883,Paktika,Urgun,
8,69.10205817,33.011925,Paktika,Urgun,
8,69.13118512,33.03111452,Paktika,Urgun,
8,69.13272714,33.04516399,Paktika,Urgun,
8,69.16408143,33.07257758,Paktika,Urgun,
8,69.15825605,33.08474236,Paktika,Urgun,
8,69.1678508,33.09879183,Paktika,Urgun,
