X,Y,Shape_Leng,Shape_Area,ADM2_EN,ADM2_DA,ADM2_PCODE,ADM2_REF,ADM2ALT1EN,ADM2ALT2EN,ADM2ALT1DA,ADM2ALT2DA,ADM1_EN,ADM1_DA,ADM1_PCODE,ADM0_EN,ADM0_DA,ADM0_PCODE,date,validOn,ValidTo,REG_EN,REG_DA,REG_PCODE
61.93499218,30.09527631,5.930108664,1.942898207,Char Burjak,چاربرجک,AF3404,,,,,,Nimroz,نیمروز,AF34,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Southern,جنوبی حوزه,SR
69.15395257,34.98843134,0.988713437,0.026416583,Charikar,چاریکار,AF0301,,Centre,,,,Parwan,پروان,AF03,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Capital,مرکزی حوزه,CR
67.23260913,36.35996038,1.783339221,0.108114561,Charkent,چار کنت,AF2104,,,,,,Balkh,بلخ,AF21,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Northern,سهیلی حوزه,NR
68.93096536,33.8117732,0.806917535,0.027897314,Charkh,چرخ,AF0503,,,,,,Logar,لوگر,AF05,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Capital,مرکزی حوزه,CR
65.18355839,35.10633399,2.14060257,0.127940052,Charsadra,چار صد ره,AF2304,,,,,,Ghor,غور,AF23,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Western,لویدیځه حوزه,WR
70.90192955,34.72645808,0.781672385,0.024139539,Chawkay,چوکی,AF1509,,,,,,Kunar,کنر ها,AF15,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Eastern,ختیځه حوزه,ER
66.63212138,36.52020804,2.428444149,0.181992236,Chemtal,چمتال,AF2108,,,,,,Balkh,بلخ,AF21,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Northern,سهیلی حوزه,NR
63.87585655,34.45669184,3.023734534,0.244750083,Chisht-e-Sharif,چشت شریف,AF3216,,,,,,Hirat,هرات,AF32,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Western,لویدیځه حوزه,WR
66.15274184,32.8884827,3.600466424,0.29226067,Chora,چوره,AF2503,,,,,,Uruzgan,ارزگان,AF25,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Southern,جنوبی حوزه,SR
68.51579853,35.84402458,1.876592532,0.145067351,Dahana-e-Ghori,دهنۀ غوری,AF0902,,,,,,Baghlan,بغلان,AF09,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,North Eastern,سهیل ختیځه حوزه,NE
65.71170558,31.22323173,4.421394172,0.388346778,Daman,دامان,AF2703,,,,,,Kandahar,کندهار,AF27,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Southern,جنوبی حوزه,SR
69.92575456,33.79890209,0.805125946,0.019906505,Dand Wa Patan,دند وپټان,AF1311,,,,,,Paktya,پکتیا,AF13,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,South Eastern,جنوب ختیځه حوزه,SE
71.41120322,35.00206265,0.749989595,0.020064199,Dangam,دانگام,AF1512,,,,,,Kunar,کنر ها,AF15,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Eastern,ختیځه حوزه,ER
